"Date","서울시 평균","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구","","","",""
"2022-03-02","15","13","14","16","12","14","15","14","15","18","15","15","16","12","19","14","10","15","13","16","15","15","18","16","14","15","","","",""
"2022-03-03","25","22","25","27","23","26","25","28","25","28","27","25","25","23","32","25","19","24","21","29","25","23","26","26","24","24","","","",""
"2022-03-04","37","32","35","42","36","36","35","41","40","42","42","38","40","33","42","40","29","39","33","38","38","34","47","34","37","34","","","",""
"2022-03-05","15","14","15","16","13","13","15","15","15","18","14","16","17","13","16","14","12","15","14","15","14","16","17","19","15","14","","","",""
"2022-03-06","8","8","7","9","6","8","8","5","7","10","8","8","9","7","11","6","7","8","8","10","8","10","11","10","9","8","","","",""
"2022-03-07","17","15","15","19","16","17","16","18","16","22","19","18","18","15","","15","13","16","14","20","19","19","19","19","19","16","","","",""
"2022-03-08","24","22","26","23","22","21","25","24","23","23","","25","23","21","30","21","20","25","22","24","23","24","28","26","24","25","","","",""
"2022-03-09","40","40","48","43","38","39","44","45","46","47","41","42","42","35","33","44","34","39","38","42","39","36","40","40","35","40","","","",""
"2022-03-10","45","40","46","45","40","36","44","45","48","51","43","43","38","55","42","46","36","39","35","43","58","48","57","60","40","40","","","",""
"2022-03-11","37","33","35","38","37","37","37","39","39","42","37","39","40","37","35","41","30","37","32","40","41","37","41","39","35","34","","","",""
"2022-03-12","37","33","37","37","35","35","36","43","37","44","42","37","39","35","35","40","31","37","34","38","39","36","37","34","33","33","","","",""
"2022-03-13","9","10","10","7","10","12","10","11","11","8","9","9","13","11","14","6","8","8","9","12","11","5","11","4","8","7","","","",""
"2022-03-14","9","9","10","9","5","10","9","7","11","9","11","9","12","10","11","13","8","10","8","11","8","10","13","4","10","8","","","",""
"2022-03-15","31","27","30","32","28","30","30","34","33","41","32","30","33","29","36","32","25","30","25","31","32","30","39","31","30","27","","","",""
"2022-03-16","39","38","43","43","33","34","41","43","33","47","43","56","36","34","39","43","33","37","36","38","40","37","37","46","37","38","","","",""
"2022-03-17","23","20","21","19","22","22","20","26","36","22","23","21","24","22","35","22","19","20","21","24","26","24","26","23","22","21","","","",""
"2022-03-18","2","2","2","2","2","2","2","1","3","4","2","2","3","2","1","1","1","2","2","3","4","3","3","2","3","2","","","",""
"2022-03-19","3","2","2","2","3","4","2","1","5","3","3","2","5","2","2","3","2","3","3","4","3","2","4","1","2","2","","","",""
"2022-03-20","13","13","14","11","10","15","13","16","15","13","11","14","16","14","13","14","11","12","12","19","16","14","17","4","14","11","","","",""
"2022-03-21","15","14","15","16","16","15","15","13","15","18","16","17","17","14","15","13","12","15","15","18","16","17","17","18","16","14","","","",""
"2022-03-22","23","21","23","25","23","24","22","21","23","26","24","24","27","22","17","22","20","19","21","26","25","24","27","26","22","22","","","",""
"2022-03-23","20","18","21","21","20","18","20","18","18","25","21","20","20","17","18","18","17","23","22","23","21","21","25","22","21","20","","","",""
"2022-03-24","28","26","32","33","26","26","30","21","25","25","34","30","29","24","27","23","26","31","26","27","28","27","36","29","29","29","","","",""
"2022-03-25","46","42","45","53","44","42","47","47","47","51","51","48","45","50","38","47","41","45","40","45","47","41","50","46","48","43","","","",""
"2022-03-26","6","6","5","5","7","7","5","6","4","6","6","5","7","6","5","4","5","7","6","8","6","8","11","6","5","5","","","",""
"2022-03-27","12","11","12","11","14","11","11","11","10","15","12","12","13","12","10","9","11","12","17","14","12","14","13","13","12","12","","","",""
"2022-03-28","12","12","11","11","12","13","11","12","14","14","11","11","13","13","10","9","10","11","13","16","13","12","15","14","12","10","","","",""
"2022-03-29","15","15","17","15","16","14","16","14","15","18","15","14","16","14","11","13","14","14","20","17","16","16","16","17","14","14","","","",""
"2022-03-30","17","17","19","16","15","15","16","18","14","19","18","17","18","16","14","16","15","18","16","17","17","17","22","18","17","15","","","",""
"2022-03-31","11","10","13","17","9","9","10","10","9","11","11","10","11","8","7","17","9","10","10","9","9","11","13","11","9","10","","","",""
"2022-04-01","8","7","7","9","9","8","7","6","7","12","8","6","10","8","4","4","6","8","7","9","8","10","7","10","8","7","","","",""
"2022-04-02","18","16","19","18","19","17","17","17","15","20","17","19","19","18","14","14","15","17","17","21","18","19","21","19","18","16","","","",""
"2022-04-03","30","28","32","28","30","29","29","33","","32","29","31","31","31","23","28","25","29","27","32","30","28","36","30","31","27","","","",""
"2022-04-04","38","37","43","37","35","40","41","38","","43","39","43","38","36","29","38","33","36","34","37","38","34","41","41","41","37","","","",""
"2022-04-05","28","28","34","30","29","27","30","28","31","31","28","31","27","27","20","25","24","27","25","31","27","26","30","29","29","26","","","",""
"2022-04-06","24","23","24","21","24","27","23","26","30","23","23","24","31","22","18","25","21","23","23","25","24","22","30","25","23","23","","","",""
"2022-04-07","10","9","10","11","10","10","9","7","9","13","10","11","14","9","9","5","8","10","10","11","10","11","16","11","10","10","","","",""
"2022-04-08","20","19","20","20","21","22","20","21","20","25","22","20","24","19","18","19","17","21","18","21","19","19","28","21","19","17","","","",""
"2022-04-09","24","22","26","26","23","23","26","20","22","29","25","26","27","20","17","19","22","27","27","23","21","24","24","26","23","24","","","",""
"2022-04-10","21","21","24","23","17","21","24","17","18","27","22","23","24","18","15","18","21","22","25","18","19","24","22","22","19","23","","","",""
"2022-04-11","17","17","17","18","17","18","18","17","15","20","16","17","20","16","13","14","15","17","21","17","17","20","20","18","17","17","","","",""
"2022-04-12","16","15","17","16","17","17","17","16","15","16","15","15","20","16","12","13","13","16","19","16","16","19","21","15","","15","","","",""
"2022-04-13","9","6","6","8","6","7","7","8","6","8","7","7","11","6","6","9","5","26","7","7","8","8","18","12","8","6","","","",""
"2022-04-14","4","4","4","5","4","4","4","2","4","5","3","4","8","4","2","2","3","4","5","5","6","7","6","5","5","3","","","",""
"2022-04-15","9","9","7","10","10","9","8","7","9","11","9","9","12","8","5","1","7","8","10","10","9","12","8","9","8","8","","","",""
"2022-04-16","18","18","16","18","21","19","17","17","18","16","13","17","22","17","12","","15","16","19","20","20","22","19","18","16","15","","","",""
"2022-04-17","30","28","31","32","32","27","30","32","28","35","32","30","32","28","22","","24","30","26","30","29","29","39","29","31","27","","","",""
"2022-04-18","33","32","34","39","35","32","34","43","32","39","35","34","36","31","24","26","29","31","32","33","33","34","37","33","35","29","","","",""
"2022-04-19","40","39","38","45","44","36","40","57","41","44","39","40","42","39","29","40","35","38","37","41","40","41","48","40","42","36","","","",""
"2022-04-20","44","41","41","47","49","42","45","47","42","52","41","47","44","41","36","42","38","47","42","45","43","44","59","47","50","39","","","",""
"2022-04-21","29","28","31","33","26","27","38","26","34","33","27","30","29","24","25","25","25","28","29","29","26","31","30","29","30","28","","","",""
"2022-04-22","26","25","25","29","25","27","25","25","24","29","27","28","28","23","29","24","21","28","25","24","24","20","34","28","29","28","","","",""
"2022-04-23","34","36","30","27","38","33","33","39","35","28","31","34","34","33","32","36","32","30","34","35","33","40","37","32","34","33","","","",""
"2022-04-24","31","28","27","30","33","31","29","34","29","31","28","31","31","30","31","27","27","31","32","33","31","31","37","29","32","32","","","",""
"2022-04-25","32","32","29","31","38","35","30","37","36","28","28","31","38","27","29","33","28","28","32","35","31","34","34","29","33","30","","","",""
"2022-04-26","21","19","19","24","23","22","18","22","20","19","36","20","22","21","19","12","18","22","21","21","23","24","25","21","20","21","","","",""
"2022-04-27","16","13","13","15","15","15","13","20","14","15","19","16","17","14","18","17","10","17","16","14","19","17","24","18","16","16","","","",""
"2022-04-28","14","14","14","14","15","14","14","16","15","14","11","14","17","13","14","13","12","13","15","14","16","16","13","16","16","15","","","",""
"2022-04-29","3","3","3","4","3","3","2","2","4","4","3","3","6","3","2","1","2","2","4","3","5","5","7","4","4","3","","","",""
"2022-04-30","8","9","9","10","4","6","8","10","10","9","9","9","12","8","11","8","8","1","9","10","9","12","5","1","10","9","","","",""
"2022-05-01","15","14","16","16","13","15","15","16","14","19","16","14","17","12","14","15","11","16","18","13","13","16","19","15","14","15","","","",""
"2022-05-02","20","19","19","19","20","19","19","20","19","21","18","20","22","18","21","18","19","21","21","20","20","23","27","21","21","20","","","",""
"2022-05-03","20","19","20","21","20","19","20","16","19","21","16","20","23","17","20","15","21","19","21","20","19","22","23","21","20","19","","","",""
"2022-05-04","19","19","19","22","20","18","19","16","17","23","18","21","22","16","16","16","20","20","21","18","17","22","16","20","20","19","","","",""
"2022-05-05","16","16","18","18","15","16","18","14","15","22","15","18","19","14","13","13","17","17","17","14","16","19","18","17","16","17","","","",""
"2022-05-06","19","19","19","21","20","19","19","18","18","20","14","21","20","18","18","17","20","20","19","19","21","22","22","20","19","20","","","",""
"2022-05-07","12","11","12","11","11","11","11","15","11","11","11","11","14","11","10","8","12","10","12","12","13","17","20","12","20","11","","","",""
"2022-05-08","7","7","6","8","8","8","6","6","7","7","6","7","11","7","5","4","6","6","7","8","9","9","10","8","8","6","","","",""
"2022-05-09","7","7","6","6","7","9","6","6","7","7","5","7","10","6","5","3","8","6","7","8","8","10","11","8","8","6","","","",""
"2022-05-10","12","12","11","13","12","12","11","13","11","13","10","12","15","11","9","7","12","11","12","12","14","15","13","13","14","11","","","",""
"2022-05-11","14","15","14","13","13","16","14","15","14","12","12","14","17","13","10","12","15","13","19","13","14","18","20","14","14","14","","","",""
"2022-05-12","14","14","14","11","13","13","11","13","15","16","12","14","18","14","10","11","14","14","17","15","15","18","17","14","14","14","","","",""
"2022-05-13","13","12","11","14","10","14","12","13","12","15","10","12","18","11","10","14","13","11","15","12","14","15","18","12","12","11","","","",""
"2022-05-14","10","10","8","12","9","11","10","9","10","13","8","10","14","9","8","10","9","10","11","9","11","13","18","10","10","9","","","",""
"2022-05-15","8","9","7","10","7","10","9","7","7","10","6","7","11","8","5","7","9","7","10","8","9","11","10","9","9","8","","","",""
"2022-05-16","13","13","13","15","11","13","13","11","11","17","13","12","14","12","11","9","13","14","13","12","12","15","14","13","13","13","","","",""
"2022-05-17","28","27","26","29","29","28","26","33","27","31","30","25","35","26","30","29","25","31","27","27","23","29","32","27","28","27","","","",""
"2022-05-18","34","31","32","36","33","30","33","37","30","36","35","31","34","29","33","41","30","35","33","32","33","33","42","36","37","32","","","",""
"2022-05-19","21","20","20","28","19","18","21","21","17","25","20","19","24","18","18","19","19","23","21","19","21","22","26","22","24","20","","","",""
"2022-05-20","21","21","21","24","21","22","22","18","20","25","19","21","23","20","18","19","20","22","23","22","22","23","25","22","21","22","","","",""
"2022-05-21","21","19","20","23","19","19","20","21","16","25","21","20","20","19","22","19","17","29","20","20","19","22","29","23","23","21","","","",""
"2022-05-22","24","23","25","26","20","23","24","22","20","27","26","22","24","19","24","23","22","29","24","22","22","27","31","24","24","25","","","",""
"2022-05-23","41","37","37","42","42","39","37","44","36","41","42","37","40","39","50","44","36","46","37","41","41","44","55","40","43","36","","","",""
"2022-05-24","18","16","17","18","16","16","17","18","14","27","18","18","18","14","28","15","17","19","18","17","17","19","29","18","19","17","","","",""
"2022-05-25","12","12","11","9","13","14","11","13","11","13","10","11","13","12","10","12","13","12","13","15","14","15","16","13","14","11","","","",""
"2022-05-26","8","7","7","7","6","8","7","9","6","9","6","7","10","7","5","8","7","7","9","8","8","10","12","8","9","7","","","",""
"2022-05-27","10","9","9","11","10","10","10","6","8","12","11","9","12","9","9","7","9","12","10","10","10","11","15","10","10","9","","","",""
"2022-05-28","17","17","15","18","17","20","17","18","16","19","17","17","19","13","13","19","16","14","18","14","13","21","23","18","19","17","","","",""
"2022-05-29","21","20","20","24","23","21","20","21","18","23","21","19","22","20","20","22","19","22","21","22","22","22","27","20","22","20","","","",""
"2022-05-30","17","17","25","17","15","16","18","14","14","20","16","15","19","15","15","19","16","18","20","15","16","18","23","17","16","18","","","",""
"2022-05-31","8","7","7","8","9","9","8","5","7","9","8","7","10","7","6","9","8","8","8","9","8","10","11","9","8","7","","","",""
"2022-06-01","9","9","8","9","8","9","9","5","6","10","8","9","10","8","5","10","9","9","10","10","9","11","11","8","9","8","","","",""
"2022-06-02","15","14","15","15","12","14","16","14","11","17","14","14","16","12","12","18","14","15","15","13","14","16","19","15","14","15","","","",""
"2022-06-03","23","22","21","24","21","22","23","20","21","24","24","21","24","19","19","28","26","26","24","21","22","26","23","24","21","22","","","",""
"2022-06-04","19","17","18","22","20","20","18","18","20","20","17","18","21","18","17","20","22","20","20","19","13","22","24","20","20","17","","","",""
"2022-06-05","15","14","13","19","15","14","15","14","13","17","15","14","18","14","11","15","15","14","15","15","15","17","18","16","15","15","","","",""
"2022-06-06","3","2","2","3","3","4","2","2","3","3","3","2","6","3","2","3","3","2","3","4","5","4","6","3","3","3","","","",""
"2022-06-07","2","1","1","2","3","1","2","2","3","2","2","1","2","2","1","2","3","1","3","4","4","3","4","2","2","2","","","",""
"2022-06-08","8","8","6","8","8","9","8","7","8","8","8","9","11","4","7","10","8","8","9","4","10","10","13","8","8","7","","","",""
"2022-06-09","13","13","10","13","9","12","13","10","11","14","12","15","15","10","11","14","14","17","15","11","11","15","18","14","13","13","","","",""
"2022-06-10","16","15","15","15","14","16","15","14","16","16","16","17","19","14","13","19","17","18","18","15","16","18","20","17","16","15","","","",""
"2022-06-11","12","12","11","11","12","14","10","12","12","13","11","14","13","11","8","14","13","13","14","12","13","15","15","13","12","11","","","",""
"2022-06-12","14","13","12","15","13","14","13","11","13","14","13","14","16","14","12","13","14","15","15","14","16","16","9","14","14","13","","","",""
"2022-06-13","15","14","13","16","16","16","13","13","14","14","14","15","17","14","12","15","13","15","15","16","17","17","20","14","15","13","","","",""
"2022-06-14","5","5","4","5","4","5","4","2","4","5","4","6","7","4","2","6","4","3","5","5","6","6","8","5","5","4","","","",""
"2022-06-15","5","6","4","3","7","7","5","4","4","3","4","7","6","5","1","7","3","6","4","6","5","7","10","6","6","4","","","",""
"2022-06-16","8","8","8","8","8","9","8","6","6","8","7","9","10","6","7","10","8","10","9","7","8","9","13","9","8","9","","","",""
"2022-06-17","20","19","22","22","20","20","20","19","15","22","23","22","21","17","19","22","20","23","22","18","18","22","25","15","19","20","","","",""
"2022-06-18","12","12","13","15","10","11","12","6","8","17","13","13","13","8","8","14","13","14","14","9","9","13","14","13","11","13","","","",""
"2022-06-19","14","14","16","16","13","13","15","10","10","16","15","16","15","11","12","","16","11","11","11","13","13","20","15","14","15","","","",""
"2022-06-20","15","15","22","18","12","11","19","9","10","21","16","16","15","10","8","17","15","21","15","10","12","16","18","15","14","20","","","",""
"2022-06-21","14","14","25","20","8","11","19","7","8","21","16","17","14","7","9","10","14","24","19","5","9","15","17","14","12","17","","","",""
"2022-06-22","14","16","16","14","15","9","15","11","13","13","12","15","18","11","12","13","15","15","17","13","14","16","20","15","13","15","","","",""
"2022-06-23","19","19","25","20","22","19","25","14","16","20","18","20","18","18","14","17","19","20","17","19","19","19","24","19","19","21","","","",""
"2022-06-24","13","14","13","13","12","15","14","9","6","14","12","15","17","13","12","13","14","7","16","14","15","14","12","14","14","8","","","",""
"2022-06-25","33","31","33","34","36","35","33","29","30","32","31","33","34","28","30","35","32","36","33","29","31","35","48","31","33","35","","","",""
"2022-06-26","13","12","12","15","13","15","13","9","10","15","12","13","14","11","9","15","11","13","12","12","12","15","17","12","14","13","","","",""
"2022-06-27","5","5","4","4","6","5","5","1","3","4","4","5","5","3","1","5","6","5","5","4","5","7","8","4","5","5","","","",""
"2022-06-28","5","6","4","5","6","6","6","2","3","6","4","7","7","4","2","2","5","7","6","5","6","7","10","3","6","7","","","",""
"2022-06-29","5","6","6","6","7","6","7","1","3","4","4","5","6","4","3","1","5","7","7","5","6","6","10","5","6","7","","","",""
"2022-06-30","3","2","2","2","3","5","2","1","2","3","1","1","4","2","1","1","2","7","4","3","5","4","6","2","4","2","","","",""
"2022-07-01","6","7","6","6","7","9","7","2","2","7","6","","9","5","3","6","8","7","7","4","7","9","8","8","7","6","","","",""
"2022-07-02","15","16","9","16","18","12","16","12","15","17","13","","17","15","11","14","16","14","16","16","16","19","7","15","16","17","","","",""
"2022-07-03","26","29","26","25","28","31","29","21","26","27","19","","29","26","18","26","29","23","29","26","29","32","25","25","27","29","","","",""
"2022-07-04","26","27","28","29","28","26","30","18","23","32","21","","29","23","19","23","27","24","30","24","25","30","30","26","27","29","","","",""
"2022-07-05","26","20","22","25","41","32","23","26","29","20","17","25","33","28","18","23","23","21","23","34","32","28","26","24","25","22","","","",""
"2022-07-06","21","22","21","14","28","27","21","20","26","19","14","22","28","21","14","17","22","17","20","25","26","23","21","20","22","20","","","",""
"2022-07-07","12","15","14","13","12","11","17","3","8","14","10","14","14","10","8","8","12","11","12","10","11","15","14","12","5","16","","","",""
"2022-07-08","16","18","18","17","18","17","18","8","13","16","13","18","19","14","11","12","18","17","17","16","17","18","20","18","16","17","","","",""
"2022-07-09","15","17","14","12","17","19","16","12","20","11","9","16","22","13","10","15","16","12","15","16","17","14","21","15","16","15","","","",""
"2022-07-10","28","29","28","28","32","30","28","26","26","26","22","29","29","25","21","26","28","26","29","29","26","33","27","27","31","29","","","",""
"2022-07-11","15","15","14","15","17","17","14","12","16","16","12","16","18","14","10","12","13","16","16","16","18","17","17","15","17","15","","","",""
"2022-07-12","5","5","2","4","6","7","4","4","6","4","3","6","6","2","3","1","4","4","6","7","7","6","7","5","6","4","","","",""
"2022-07-13","9","10","7","8","12","11","9","5","10","7","5","9","12","12","4","5","8","8","9","15","11","11","9","11","11","9","","","",""
"2022-07-14","6","8","5","5","6","8","7","2","6","4","4","4","9","6","3","10","7","5","9","8","7","8","8","7","7","8","","","",""
"2022-07-15","13","14","21","12","15","14","15","9","13","","7","9","12","15","13","12","12","14","12","12","14","16","16","15","15","16","","","",""
"2022-07-16","19","20","22","19","19","18","22","14","19","19","16","","20","18","17","17","21","22","22","17","17","23","19","21","21","23","","","",""
"2022-07-17","16","16","17","16","16","17","18","11","14","17","15","","17","15","14","12","18","17","16","16","15","19","18","18","17","19","","","",""
"2022-07-18","17","15","13","17","21","16","15","11","16","17","13","","22","19","15","12","15","15","16","17","18","21","20","18","19","17","","","",""
"2022-07-19","22","19","21","23","25","24","21","19","18","22","20","25","24","23","19","20","22","21","24","24","23","24","19","23","23","24","","","",""
"2022-07-20","21","22","22","22","21","22","26","15","22","21","19","24","22","20","17","17","23","20","23","22","20","22","22","21","23","24","","","",""
"2022-07-21","9","8","8","6","8","9","8","3","11","7","5","9","10","8","4","5","9","14","10","9","16","8","14","9","8","9","","","",""
"2022-07-22","16","11","15","14","22","22","18","10","18","12","12","18","22","19","15","18","18","16","10","21","15","20","20","17","18","11","","","",""
"2022-07-23","25","24","21","21","28","28","24","23","37","18","17","26","27","26","21","26","23","22","","29","29","24","26","24","29","23","","","",""
"2022-07-24","10","9","10","10","13","13","12","6","14","9","3","12","14","11","7","9","11","5","18","12","12","10","5","12","12","10","","","",""
"2022-07-25","8","9","7","6","7","9","8","3","8","6","4","9","8","7","4","7","9","5","10","8","8","10","10","9","8","9","","","",""
"2022-07-26","19","21","18","20","22","22","22","15","22","17","15","23","23","21","16","14","21","18","16","23","22","15","21","12","15","21","","","",""
"2022-07-27","22","21","18","18","28","24","21","18","26","17","14","22","24","29","16","17","22","19","23","27","25","23","22","21","24","21","","","",""
"2022-07-28","16","15","14","14","21","18","16","13","19","14","10","16","17","18","12","12","16","14","17","16","20","17","15","17","19","17","","","",""
"2022-07-29","16","16","14","22","19","18","17","11","19","10","11","18","16","17","10","11","15","14","13","25","18","14","15","17","17","17","","","",""
"2022-07-30","11","11","9","12","12","13","11","5","10","15","7","12","12","12","7","7","11","10","11","13","13","15","11","11","12","12","","","",""
"2022-07-31","6","7","6","5","7","8","8","1","5","7","3","7","7","9","2","2","7","6","7","9","8","5","7","7","7","9","","","",""
